community,ecology,replicate,median_fitness
S,Competition,so_apr_22.IT026,0
S,Competition,so_apr_22.IT027,0.001845256847869315
S,Competition,so_apr_22.IT028,-4.171095060273994e-4
S,Competition,so_apr_22.IT029,6.493647120921348e-4
S,Competition,so_apr_22.IT030,0
S,Mutualism,so_apr_22.IT006,0
S,Mutualism,so_apr_22.IT007,0
S,Mutualism,so_apr_22.IT008,8.801780766577033e-5
S,Mutualism,so_apr_22.IT009,0
S,Mutualism,so_apr_22.IT010,0.001255479299478515
SE,Competition,so_apr_22.IT031,0.0016997823454233951
SE,Competition,so_apr_22.IT032,0.00108614405447374
SE,Competition,so_apr_22.IT033,0
SE,Competition,so_apr_22.IT034,0.0012667386100882398
SE,Competition,so_apr_22.IT035,-0.0011979930400340352
SE,Mutualism,so_apr_22.IT011,0
SE,Mutualism,so_apr_22.IT012,-0.00184722182144964
SE,Mutualism,so_apr_22.IT013,0
SE,Mutualism,so_apr_22.IT014,0.0015055138658313849
SE,Mutualism,so_apr_22.IT015,0.001259622209719335
SM,Competition,so_apr_22.IT036,-0.002739484722782775
SM,Competition,so_apr_22.IT037,0
SM,Competition,so_apr_22.IT038,0.001190451774828885
SM,Competition,so_apr_22.IT039,0
SM,Competition,so_apr_22.IT040,0
SM,Mutualism,so_apr_22.IT016,0
SM,Mutualism,so_apr_22.IT017,0
SM,Mutualism,so_apr_22.IT018,-4.7646449785990197e-4
SM,Mutualism,so_apr_22.IT019,0
SM,Mutualism,so_apr_22.IT020,-8.830654144541246e-4
SEM,Competition,so_apr_22.IT042,0.002030982032693745
SEM,Competition,so_apr_22.IT043,0
SEM,Competition,so_apr_22.IT044,5.551399174021365e-4
SEM,Competition,so_apr_22.IT045,3.036279677433307e-4
SEM,Mutualism,so_apr_22.IT021,0
SEM,Mutualism,so_apr_22.IT022,0
SEM,Mutualism,so_apr_22.IT023,1.9287221302177748e-4
SEM,Mutualism,so_apr_22.IT024,0
SEM,Mutualism,so_apr_22.IT025,5.685755723129622e-4
